text,intent
привет,greeting
здравствуй,greeting
здравствуйте,greeting
добрый день,greeting
доброе утро,greeting
добрый вечер,greeting
приветствую,greeting
здрасте,greeting
приветик,greeting
здорово,greeting
салют,greeting
хай,greeting
хеллоу,greeting
доброго здоровья,greeting
рад тебя видеть,greeting
привет как дела,greeting
здравствуйте чем могу помочь,greeting
приветствую вас,greeting
доброго времени суток,greeting
здравствуйте всем,greeting
привет всем,greeting
здравствуйте как жизнь,greeting
добрый денек,greeting
здравия желаю,greeting
приветствую тебя,greeting
доброго здравия,greeting
здорово что ты есть,greeting
привет дружище,greeting
здравствуй дружище,greeting
доброго здоровья желаю,greeting
здравствуйте товарищи,greeting
приветствую всех,greeting
здравствуйте дорогие,greeting
рад приветствовать,greeting
приветствую с уважением,greeting
здравствуйте пожалуйста,greeting
добрый час,greeting
хелло,greeting
хэллоу,greeting
здоровеньки булы,greeting
какая погода,weather
погода,weather
что за погода,weather
какой прогноз,weather
будет ли дождь,weather
будет ли снег,weather
сколько градусов,weather
какая температура,weather
погода на сегодня,weather
погода на завтра,weather
погода в москве,weather
погода в питере,weather
какая погода в казани,weather
сколько градусов в новосибирске,weather
прогноз на завтра,weather
температура на улице,weather
погодка как,weather
что с погодой,weather
как погода на улице,weather
температура за окном,weather
на улице сколько градусов,weather
будет тепло,weather
ожидается дождь,weather
погода на выходные,weather
какой прогноз на сегодня,weather
солнечно ли сегодня,weather
ветер какой,weather
влажность какая,weather
погода в городе,weather
прогноз погоды на неделю,weather
какая сегодня погода,weather
что там с погодой,weather
погодные условия,weather
какая погода будет,weather
прогноз на послезавтра,weather
будет ли гроза,weather
температура воды,weather
давление какое,weather
ветер сильный,weather
осадки будут,weather
погода в россии,weather
погода в европе,weather
какая погода в лондоне,weather
погода в париже,weather
погода в берлине,weather
прогноз на месяц,weather
какая температура завтра,weather
снег будет,weather
дождь идет,weather
солнце светит,weather
облачно или ясно,weather
туман будет,weather
град ожидается,weather
метель будет,weather
гроза приближается,weather
погода в сочи,weather
погода в крыму,weather
погода в калининграде,weather
погода во владивостоке,weather
погода в екатеринбурге,weather
пока,goodbye
до свидания,goodbye
всего хорошего,goodbye
увидимся,goodbye
прощай,goodbye
до встречи,goodbye
бывай,goodbye
покеда,goodbye
счастливо,goodbye
всего доброго,goodbye
давай пока,goodbye
пока пока,goodbye
до скорого,goodbye
созвонимся,goodbye
бывайте,goodbye
удачи,goodbye
до связи,goodbye
всего,goodbye
ну я пошел,goodbye
давай до свидания,goodbye
до завтра,goodbye
до вечера,goodbye
до понедельника,goodbye
увидимся позже,goodbye
покедава,goodbye
чао,goodbye
адиос,goodbye
бай,goodbye
бай бай,goodbye
счастливого пути,goodbye
удачи тебе,goodbye
всех благ,goodbye
до новых встреч,goodbye
с богом,goodbye
пока пока пока,goodbye
давай прощай,goodbye
бывай здоров,goodbye
счастливо оставаться,goodbye
покеда ребята,goodbye
увидимся завтра,goodbye
